,JSMR IJ Equity
,GHG_SCOPE_1
2012-12-31,6.451
2013-12-31,6.962
2015-12-31,5.623
2016-12-31,9.184
2017-12-31,10.776
2018-12-31,549.837
2019-12-31,477.12
2020-12-31,0.424
2021-12-31,0.0
